wavelength_nm,port_1_db,port_2_db,port_3_db,port_4_db,port_5_db,port_6_db,port_7_db,port_8_db,port_9_db,port_10_db,port_11_db,port_12_db,port_13_db,port_14_db,port_15_db,port_16_db
1507.2375,-7.1730324515797195,-24.982524750221167,-23.130753778875935,-20.961078841361534,-13.628776328600036,-24.81785047062224,-19.091403897422982,-24.009312720158643,-2.164107215705137,-24.914266116590376,-21.515051894414587,-22.783015058906912,-18.21284631252283,-24.19477102991978,-15.21669430956361,-24.684679462530372
1507.375,-7.794100634577591,-25.303123355374133,-23.48087082592244,-21.231321125346142,-13.806458217957287,-25.147596295139763,-19.479219052256703,-24.307273050230954,-1.9190763906850523,-25.21983534718341,-21.87975117304008,-23.06958066192903,-18.4553581020995,-24.534045212275135,-15.652305650216983,-24.99298489699037
1507.5125,-8.46302326819957,-25.681337035127374,-23.888828257030635,-21.559231888802394,-14.039730123922816,-25.535237024657903,-19.924453270063015,-24.663135590888846,-1.6927102943533434,-25.58086722147366,-22.30216681388875,-23.413972419658798,-18.755128865044536,-24.93121632306366,-16.14434546299123,-25.359201526781128
1507.65,-9.185751572919582,-26.122482750155108,-24.359913306025454,-21.950091215607273,-14.333791717574599,-25.986056344907883,-20.432402725582754,-25.082184422133153,-1.4843903091605106,-26.002078054088905,-22.787588288749685,-23.821473344103346,-19.117428291781458,-25.391570468336326,-16.69814303785206,-25.78861500967237
1507.7875,-9.9696793922066,-26.633379247146944,-24.90091889024071,-22.410684797501524,-14.69534385805471,-26.506843498020327,-21.009869033201753,-25.571209327920897,-1.2935682572047105,-26.48950176463021,-23.34281070582325,-24.298872126722607,-19.549031325908437,-25.92189944628387,-17.320531628878594,-26.28801666513073
1507.925,-10.824150017916697,-27.22284674426603,-25.52064270946201,-22.949803029512893,-15.133087366103782,-27.106392367427524,-21.665658354577108,-26.139004894116834,-1.1197589167345883,-27.05090425329907,-23.97663391005228,-24.854962236029692,-20.05871724417606,-26.530999845417625,-18.020347644444424,-26.866202575552776
1508.0625,-11.761208370069768,-27.902453016481065,-26.230632847084195,-23.578986607508302,-15.658468270160036,-27.79624706349901,-22.411327008111705,-26.79711610867986,-0.9625337236205944,-27.69639394434302,-24.700608085624452,-25.501287517403345,-20.658015237771153,-27.230418644949793,-18.809176333696776,-27.53471918950264
1508.2,-12.796756527477037,-28.687663698741034,-27.046337671220403,-24.313676425606335,-16.286827319445933,-28.591851807452194,-23.262331378033892,-27.56098826182037,-0.8215154619640347,-28.43934756346212,-25.530183658385507,-26.25329209284772,-21.36235429258577,-28.035603115108806,-19.702501767526613,-28.309013224709968
1508.3375,-13.952403750797625,-29.599687804655133,-27.988951017638204,-25.17505875532216,-17.03924474216923,-29.514396095187017,-24.2398731049737,-28.451812128003297,-0.6963737875214372,-29.297865120141154,-26.486556480039592,-27.13216554257508,-22.192908350287883,-28.96774599926227,-20.721552096316778,-29.210276852722075
1508.475,-15.258581289738085,-30.668588635589096,-29.088522817023225,-26.19317586893908,-17.945650407077046,-30.593925303284472,-25.37400972055329,-29.4996345922956,-0.5868214586635042,-30.29716038738004,-27.599778456639278,-28.16795353090949,-23.17970691262735,-30.056896140345806,-21.89641024734824,-30.2685583277257
1508.6125,-16.760126574581413,-31.93886458500304,-30.389539661568755,-27.41250660210005,-19.050403878515926,-31.874921231865542,-26.709235221005994,-30.74893921605643,-0.49261117423812095,-31.473712274801954,-28.914338116366203,-29.405138371510283,-24.367215583906358,-31.347539046593774,-23.271594557207756,-31.528342554551614
1508.75,-18.52713705048537,-33.480300018165245,-31.961775483193883,-28.90281702791778,-20.423144531775158,-33.427152756262515,-28.315330752140202,-32.269496914272146,-0.4135329374731364,-32.88300216084031,-30.50001128890414,-30.9134897042158,-25.82518672384349,-32.90944756887148,-24.91690951181426,-33.05940176817787
1508.8875,-20.67848179061417,-35.41147429864604,-33.92380040851315,-30.782669307718717,-22.182299787510054,-35.36918465221681,-30.31087347078604,-34.17987480965734,-0.34941188108290044,-34.61534059764365,-32.47536996153124,-32.81157334862957,-27.672168275871556,-34.8611907547291,-26.950954659478413,-34.98030438986556
1509.025,-23.441243310103367,-37.959201329941294,-36.50242015383919,-33.27886108169758,-24.55452382128053,-37.92781695740724,-32.92267594601856,-36.70687562680326,-0.30010650191859545,-36.83267959855588,-35.06722167521434,-35.32619069773086,-30.13494313406555,-37.42957324245528,-29.600564060540506,-37.51785442321962
1509.1625,-27.342405432524263,-41.650215419147386,-40.22436176302789,-36.918111202285544,-28.06638254268008,-41.62977067155984,-36.677471902980365,-40.37722342918259,-0.2655072644819715,-39.872304821926015,-38.80229526351442,-38.98406445431534,-33.74021485141685,-41.14132099793699,-33.39249207664116,-41.19877719299364
1509.3,-34.19944042417433,-48.301756640529845,-46.906858862654815,-43.51764498471355,-34.53493800893193,-48.2922729689685,-43.39250148380329,-47.0081488734976,-0.24553554194377836,-44.65207755338591,-45.49782610879487,-45.60242388475514,-40.30519286384071,-47.81366656880973,-40.14399867433684,-47.84030460113574
1509.4375,-50.48884612234224,-60.0,-60.0,-59.55372966662679,-50.436282953706744,-60.0,-59.54404671750182,-60.0,-0.24014287138600204,-56.266608658512716,-60.0,-60.0,-56.306127921672946,-60.0,-56.33138493512653,-60.0
